0,34
0,74
0,87
0,742
0,747
0,775
0,777
0,784
0,814
0,831
0,936
0,965
0,1006
0,1057
0,1136
0,2107
0,2116
0,2164
0,2227
0,2251
0,2332
0,2349
0,2384
0,2389
0,2462
0,2466
0,2473
0,2497
0,2519
0,2538
0,2539
0,2546
0,2564
0,2579
0,2659
0,2827
0,2844
1,49
1,73
1,81
1,146
1,176
1,754
1,797
1,805
1,811
1,831
1,840
1,859
1,862
1,1005
1,1017
1,1055
1,2131
1,2132
1,2249
1,2272
1,2315
1,2319
1,2369
1,2419
1,2464
1,2514
1,2625
1,2637
1,2760
1,2763
1,2819
2,82
2,117
2,147
2,179
2,595
2,950
2,986
2,1026
2,1042
2,1487
2,1787
2,2128
2,2171
2,2182
2,2206
2,2239
2,2315
2,2445
2,2485
2,2542
2,2544
2,2546
2,2581
2,2596
2,2599
2,2677
2,2686
2,2709
2,2736
2,2738
2,3451
2,4564
3,29
3,36
3,64
3,84
3,117
3,127
3,151
3,154
3,165
3,470
3,768
3,784
3,827
3,917
3,984
3,985
3,1007
3,2153
3,2163
3,2202
3,2259
3,2285
3,2295
3,2305
3,2335
3,2410
3,2438
3,2475
3,2562
3,2598
3,2604
3,2621
3,2625
3,2644
3,2689
3,2718
3,2723
3,2786
3,2875
4,15
4,66
4,142
4,185
4,622
4,764
4,776
4,862
4,870
4,932
4,948
4,1013
4,1295
4,2139
4,2164
4,2226
4,2290
4,2297
4,2305
4,2337
4,2358
4,2380
4,2468
4,2482
4,2497
4,2498
4,2512
4,2513
4,2545
4,2602
4,2616
4,2618
4,2789
4,2821
4,2845
4,3439
4,3612
5,16
5,19
5,134
5,150
5,157
5,760
5,762
5,887
5,923
5,1019
5,1947
5,2129
5,2138
5,2166
5,2203
5,2208
5,2213
5,2245
5,2344
5,2363
5,2366
5,2385
5,2395
5,2434
5,2438
5,2511
5,2520
5,2570
5,2607
5,2662
5,2794
5,2810
5,2816
5,2829
5,2864
6,24
6,81
6,889
6,1013
6,2119
6,2182
6,2265
6,2323
6,2344
6,2571
6,2587
6,2731
6,2756
6,2762
6,2847
6,2873
7,12
7,166
7,740
7,770
7,784
7,790
7,851
7,855
7,864
7,871
7,901
7,994
7,2103
7,2136
7,2150
7,2187
7,2279
7,2286
7,2409
7,2449
7,2453
7,2457
7,2476
7,2479
7,2488
7,2588
7,2616
